STATION_ID;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
6264;457.0;51.414;8.65;20020101;;Brilon-Thülen
717;443.0;51.3873;8.5737;19360521;;Brilon
1791;40.0;52.2043;7.026;18910101;20170101;Gronau
2854;106.0;52.15;8.9667;19600801;19801231;Langenholzhausen
3020;337.0;51.0645;7.4436;19880419;;Lindlar-Oberlichtinghagen
4739;110.0;51.5662;8.1155;19310101;20041231;Soest
1078;37.0;51.296;6.7686;19490423;;Düsseldorf
375;375.0;51.0023;7.6711;18910101;19990831;Bergneustadt-Hüngringhausen
2868;117.0;51.4833;7.7;19460401;19670719;Langschede
2802;459.0;50.8864;8.3685;19830801;;Laasphe, Bad-Hesselbach
15001;51.0;51.7389;7.0504;20101010;;Dorsten-Lembeck
782;215.0;51.609;8.654;19370401;20061231;Büren-Wewelsburg
5717;134.0;51.2256;7.1052;18951101;;Wuppertal-Buchenhofen
5003;55.0;51.9833;7.7833;19790901;20070930;Telgte
2104;385.0;50.6086;6.5495;18910101;;Heimbach-Düttling
796;413.0;50.7556;8.1257;18910101;;Burbach-Würgendorf
3544;350.0;50.8005;8.0094;19850208;20061231;Neunkirchen, Kreis Siegen-Wittgenstein
186;218.0;51.3773;8.0713;19410101;19980930;Arnsberg
1437;67.0;50.9;6.8;19521204;19761231;Frechen (Benzelrath)
989;53.0;51.5765;6.7849;18910101;;Dinslaken
3914;36.0;52.4817;9.1214;19221201;20061231;Petershagen-Wasserstraße
7374;46.0;52.0814;6.941;20051201;;Ahaus
4313;370.0;51.4966;8.4342;18910901;;Rüthen
3350;227.0;50.8649;7.7155;18920701;;Morsbach
2062;100.0;51.4123;7.1717;19880101;19901231;Hattingen-Winz
3555;39.0;51.1901;6.6926;19390101;20130731;Neuss
3338;575.0;50.5249;6.2894;19850305;19980630;Monschau (Bratherhof)
3172;223.0;51.8175;9.2283;19960801;20061231;Marienmünster-Vörden
2117;650.0;50.4104;6.3901;19500401;;Hellenthal-Udenbreth
3499;292.0;51.2915;7.853;19820401;;Neuenrade-Blintrop
2358;298.0;51.1434;7.3656;19680101;;Hückeswagen (Bevertalsperre)
485;96.0;52.0439;8.6368;19630501;19951231;Bielefeld-Altenhagen
2357;258.0;51.149;7.3364;19310101;20020831;Hückeswagen
5239;101.0;52.1492;8.8476;19900111;20061231;Vlotho-Valdorf
5594;108.0;50.8038;7.557;19661101;;Windeck-Dattenfeld
4852;82.0;52.0035;8.3456;18901001;;Steinhagen-Brockhagen
4463;572.0;50.5188;6.399;19650801;20091231;Schleiden-Schöneseiffen
5595;316.0;50.813;7.6606;19500401;20041231;Windeck-Distelshausen
4628;180.0;51.4667;7.5667;19681101;19891031;Schwerte
3230;392.0;51.1218;7.8099;19791012;20021231;Meinerzhagen-Valbert
1897;315.0;51.0473;7.5017;19660901;19990630;Gummersbach-Wegescheid
4371;135.0;52.1042;8.7521;19350101;;Salzuflen, Bad
2977;375.0;51.5393;8.9112;19650101;20041231;Lichtenau in Westfalen -Blankenrode
5628;122.0;51.4728;7.3592;19490601;20170630;Witten-Stockum
2116;600.0;50.4557;6.4032;19840201;20061231;Hellenthal-Hollerath
104;196.0;51.2856;7.6922;19790620;20061231;Altena in Westfalen
1968;355.0;51.1851;7.4348;19850701;20011231;Halver-Schwenke (Bever)
3229;431.0;51.1043;7.6423;19960701;20001231;Meinerzhagen
216;298.0;51.1143;7.8807;19380301;;Attendorn-Neulisternohl
1895;250.0;51.0167;7.5833;19700914;20040630;Gummersbach
5486;93.0;51.7161;7.6834;19310101;;Werne-Wessel
4231;142.0;52.25;8.4833;19841101;20061231;Rödinghausen
742;40.0;51.2445;6.1577;19881230;20061231;Brüggen
486;155.0;51.9833;8.5167;19820701;20071231;Bielefeld-Brackwede
5532;144.0;51.5012;7.9008;19730101;20061231;Wickede/Ruhr-Echthausen
214;307.0;51.1212;7.9108;19710625;20061231;Attendorn
2157;61.0;51.5667;7.25;19810301;19941231;Herne (Schleuse-Ost)
4553;100.0;52.0917;7.2431;19900801;20061231;Schöppingen
2257;106.0;51.8489;8.6257;19961001;20040331;Hövelhof-Riege
5468;418.0;50.9377;7.8475;19060801;;Wenden-Dörnscheid
3169;385.0;51.0681;7.5823;19840801;20150630;Marienheide-Müllenbach
2203;66.0;51.1687;6.9621;18920101;20061231;Hilden
4693;260.0;50.8549;7.9924;19910917;19990630;Siegen-Eiserfeld
2969;43.0;51.0654;6.9218;19820730;20071031;Leverkusen-Hitdorf
1079;37.0;51.1998;6.7574;19270101;19960731;Düsseldorf-Südfriedhof
4792;270.0;51.3333;7.2833;19811001;20000630;Sprockhövel-Haßlinghausen
13919;17.0;51.8433;6.411;20080626;20081031;Isselburg-Anholt
4486;490.0;51.2493;8.3957;19780601;20021231;Schmallenberg-Bödefeld
3337;509.0;50.5667;6.2333;19820119;20070630;Monschau
3641;61.0;51.7418;7.5236;19260501;20030430;Nordkirchen
2911;73.0;52.0333;7.1167;19800101;20061231;Legden
392;543.0;51.0948;8.5148;19310101;20061231;Berleburg, Bad-Wunderthausen
4442;155.0;51.9119;9.1533;19670701;20071231;Schieder
389;436.0;51.0148;8.4318;18910801;;Berleburg, Bad-Arfeld
1595;91.0;51.5762;7.0652;19130201;;Gelsenkirchen-Buer
1589;23.0;51.5695;6.3687;19591215;20061231;Geldern-Kapellen
2346;356.0;51.8238;8.943;18910601;20161231;Horn-Meinberg, Bad-Feldrom
4150;59.0;51.8118;7.0907;18910101;;Reken-Groß Reken
2418;220.0;51.3833;7.7;19681001;19850630;Iserlohn
2345;210.0;51.8769;8.9498;19870401;20040131;Horn-Meinberg, Bad
